district,total,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
Peterborough,144495,36158,22288,23338,5037,15589,29245,12840,4121,4323,1812,455,2034
Southend-on-Sea,140621,34621,23075,24619,4161,16055,30691,7399,3825,4152,1764,393,1975
Thurrock,123407,32643,22396,21639,4218,13483,21519,7509,3475,3468,1539,411,1496
Cambridge,106007,12606,7294,9159,2024,17943,50169,6812,2226,24506,4390,671,19427
East Cambridgeshire,67481,14127,8844,10556,2928,7700,19583,3743,1780,1362,649,103,596
Fenland,78482,24523,12253,13323,3173,8151,11677,5382,2074,1508,661,133,704
Huntingdonshire,137157,26361,20055,23266,5221,16977,38301,6976,3837,3314,1646,215,1441
South Cambridgeshire,119342,18248,13275,17129,4643,13472,47852,4723,3448,3636,1499,182,1932
Basildon,139198,37084,25629,24568,4986,14961,25939,6031,3887,3253,1425,323,1491
Braintree,118098,26958,19524,21412,4604,14154,26212,5234,3165,2538,1316,177,1027
Brentwood,60115,11651,8543,10328,1979,6867,18441,2306,1872,1563,606,92,861
Castle Point,73142,21885,13177,12997,3393,7780,10693,3217,1955,1416,725,122,562
Chelmsford,137003,25844,20510,23744,4977,17085,39452,5391,3903,4510,2044,316,2131
Colchester,141427,27440,20294,23629,4772,19572,38412,7308,3590,10813,3455,922,6415
Epping Forest,101708,24360,15839,16544,3364,11261,25769,4571,2778,3252,1196,220,1821
Harlow,65061,16948,12211,11167,2328,7282,11468,3657,1937,1872,949,170,744
Maldon,50804,11749,8153,8771,2355,5692,12009,2075,1303,955,467,68,413
Rochford,68271,16134,12132,12531,2956,8158,13659,2701,1889,1354,672,98,576
Tendring,115495,39616,17499,18751,4740,11002,18340,5547,2889,2306,970,228,1084
Uttlesford,63399,11232,8791,10919,2092,7594,20251,2520,2094,1537,625,68,838
Broxbourne,74850,19122,13262,12871,2741,8401,14394,4059,2192,2471,1054,181,1225
Dacorum,115983,21768,17067,18714,4023,13410,35872,5129,3418,3304,1459,228,1601
